ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Session
302,Patricia Williams,26,Female,Sales,8385,2023-10-17,,15,Active,New York,Evening
303,Jose Sharp,31,Other,IT,3002,2018-09-02,1.0,9,Active,Los Angeles,Morning
304,Sarah Stark,27,Female,HR,6648,2019-02-04,,18,Inactive,Los Angeles,Evening
305,Mark Thomas,55,Male,Sales,7545,2017-10-30,,11,Inactive,New York,Night
306,Alexander Johnson,36,Other,Sales,7992,2024-04-20,2.0,7,Active,New York,Morning
307,Henry Harmon,57,Male,HR,9161,2022-08-02,,5,Inactive,Los Angeles,Morning
308,Nancy Jackson,63,Male,Sales,4979,2015-09-22,1.0,6,Inactive,Los Angeles,Morning
309,Taylor Walters,49,Other,HR,7149,2023-12-30,,3,Inactive,Chicago,Night
310,Abigail Rodriguez,33,Female,Sales,3636,2017-04-22,4.0,7,Active,Chicago,Morning
311,Dr. Susan Cook,51,Female,Sales,4572,2020-07-28,4.0,20,Inactive,Los Angeles,Night
312,John Jensen,58,Other,IT,3700,2023-04-17,,16,Active,New York,Night
313,Sean Barrett,26,Female,Sales,3495,2015-01-03,1.0,18,Active,Los Angeles,Night
314,Kenneth Brown,33,Male,Sales,4391,2020-05-03,5.0,6,Inactive,Los Angeles,Night
315,Samantha Clark DDS,45,Other,IT,3700,2016-02-28,3.0,2,Inactive,New York,Evening
316,Cynthia Cox,46,Other,IT,8499,2022-12-08,,4,Inactive,Los Angeles,Night
317,Jamie Gonzalez,43,Other,IT,7956,2023-06-14,,1,Active,Chicago,Evening
318,Joseph Thomas,63,Other,Sales,6741,2021-03-16,4.0,7,Active,Los Angeles,Night
319,Brent Montes,61,Female,Sales,7087,2024-09-27,2.0,11,Active,Los Angeles,Night
320,Elizabeth Dudley,58,Other,IT,6233,2024-04-30,1.0,1,Inactive,Los Angeles,Morning
321,Alexa Romero,22,Other,HR,7299,2019-10-26,2.0,6,Inactive,Chicago,Night
322,Jerry Smith,39,Male,Sales,7014,2018-04-03,,7,Inactive,New York,Morning
323,James Smith,53,Male,Sales,7727,2021-03-13,,16,Inactive,Los Angeles,Morning
324,Anthony Lam,46,Male,HR,8306,2024-11-14,5.0,15,Active,New York,Evening
325,Tom Diaz,61,Male,HR,3002,2023-12-05,,5,Inactive,Chicago,Morning
326,Vanessa Gill,26,Female,IT,2156,2021-12-16,,16,Inactive,Los Angeles,Morning
327,Robert Hensley,27,Female,IT,5280,2016-06-24,,19,Inactive,New York,Evening
328,Matthew Guerrero,22,Female,HR,7928,2021-05-11,3.0,1,Active,Los Angeles,Night
329,Jennifer Vargas,41,Other,IT,6164,2017-12-13,1.0,11,Inactive,Chicago,Morning
330,Taylor Lopez,32,Male,IT,5502,2021-04-13,4.0,9,Active,New York,Morning
331,Juan Dean,39,Male,HR,6830,2015-06-28,4.0,20,Inactive,New York,Evening
332,Karen Hayden,52,Male,Sales,5380,2020-04-23,,8,Active,Chicago,Evening
333,Heather Anderson,38,Female,Sales,6259,2016-06-13,4.0,5,Active,New York,Night
334,Austin Reyes,25,Female,IT,8301,2020-04-16,,14,Active,Los Angeles,Morning
335,Melissa Fisher,56,Male,HR,6496,2018-10-20,2.0,11,Active,Los Angeles,Night
336,Danny Allen,35,Male,HR,3656,2016-10-10,2.0,16,Inactive,New York,Night
337,Jose Costa,58,Other,IT,4908,2015-09-25,,18,Inactive,New York,Night
338,Michelle Brennan,60,Other,HR,9385,2024-09-29,2.0,15,Inactive,Chicago,Night
339,Amanda Conner,32,Female,IT,4750,2017-04-25,,8,Active,Los Angeles,Night
340,Christopher Jones,47,Other,IT,4528,2024-06-05,5.0,7,Active,Chicago,Morning
341,Tyrone Juarez,25,Other,IT,8628,2018-03-15,,12,Active,New York,Night
342,Chad Nelson,38,Male,HR,8438,2023-09-16,3.0,7,Inactive,Chicago,Morning
343,Zachary Gutierrez,45,Other,HR,3491,2019-06-03,,15,Inactive,New York,Night
344,Mark Mcbride,52,Male,IT,8000,2023-03-05,,7,Inactive,New York,Evening
345,Debra Mcdonald,25,Other,IT,3256,2023-11-25,,19,Inactive,Chicago,Morning
346,Luis Sanchez,56,Female,HR,2254,2017-10-31,5.0,8,Inactive,Chicago,Morning
347,David Durham,62,Female,HR,7803,2019-12-20,,8,Active,Los Angeles,Night
348,Claire Randall,59,Other,IT,2593,2016-07-29,2.0,14,Inactive,Los Angeles,Evening
349,Rebecca Stewart,42,Female,IT,2614,2015-10-13,,18,Inactive,Chicago,Evening
350,Ryan Cox,44,Male,IT,7895,2019-06-17,5.0,13,Active,Chicago,Evening
351,Andrew Fletcher,46,Other,HR,8006,2023-07-23,1.0,6,Inactive,Los Angeles,Morning
352,Nicole Sanchez,19,Female,IT,7335,2019-01-09,5.0,3,Inactive,Los Angeles,Morning
353,Paul Walters,39,Female,Sales,3353,2017-11-12,,15,Active,Los Angeles,Night
354,Melissa Johnson,30,Male,Sales,7252,2021-11-27,4.0,14,Active,New York,Morning
355,Karen Ramos,45,Female,HR,4213,2016-11-12,3.0,12,Inactive,Los Angeles,Night
356,Laura Castillo,41,Male,IT,2392,2024-03-15,1.0,20,Inactive,Chicago,Morning
357,James Anderson,55,Other,Sales,8344,2015-10-10,2.0,19,Active,Los Angeles,Evening
358,Andre Hall,61,Male,Sales,2928,2018-08-04,,15,Active,Los Angeles,Evening
359,Scott Hernandez,31,Female,IT,3830,2019-12-26,,5,Inactive,Los Angeles,Morning
360,Wendy Lee,63,Female,HR,6886,2018-12-30,2.0,18,Inactive,Los Angeles,Morning
361,Tony Ellison,20,Other,IT,4275,2022-08-26,,8,Active,New York,Evening
362,Samuel Irwin,51,Male,Sales,4503,2020-03-15,,5,Active,Chicago,Night
363,Mr. Timothy Mitchell DDS,29,Female,IT,7903,2018-01-22,,1,Active,New York,Night
364,Linda Wall,49,Other,HR,6590,2023-03-09,,15,Active,Los Angeles,Night
365,Mrs. Jacqueline Woodard MD,41,Female,Sales,5988,2016-02-03,5.0,2,Inactive,Chicago,Morning
366,Johnny Cook,52,Other,Sales,3504,2022-02-12,4.0,9,Inactive,Los Angeles,Morning
367,Miss Barbara Short,50,Female,Sales,7153,2024-08-07,,1,Inactive,New York,Night
368,Adam Lane,20,Other,HR,7485,2015-09-16,1.0,2,Active,Chicago,Morning
369,Natasha Spencer,23,Male,HR,7559,2022-04-09,,20,Active,New York,Night
370,Dawn Sanchez,49,Other,HR,5850,2020-10-11,,17,Inactive,New York,Morning
371,Robert Sims,28,Male,HR,4984,2023-12-21,,12,Inactive,Chicago,Evening
372,Allison Carroll,21,Female,IT,9474,2016-05-24,4.0,4,Inactive,Chicago,Evening
373,Dominic Gray,61,Other,HR,6231,2015-04-01,,15,Active,Chicago,Morning
374,Eric Hill,22,Male,HR,8147,2019-06-16,,17,Active,Los Angeles,Evening
375,Anthony Baldwin,42,Male,IT,9067,2017-03-15,5.0,5,Active,New York,Morning
376,Jeffrey Nguyen,58,Other,HR,2489,2018-03-20,2.0,1,Inactive,Chicago,Evening
377,Jonathon Mclaughlin,64,Female,Sales,5606,2015-08-05,5.0,19,Active,New York,Evening
378,John Anderson,63,Male,Sales,6013,2023-09-28,,10,Active,Chicago,Night
379,Amy Harvey,26,Female,Sales,3556,2021-11-06,,1,Active,Chicago,Night
380,Dustin Le,29,Male,Sales,9726,2015-04-13,1.0,2,Inactive,Chicago,Evening
381,Kenneth Davis,28,Male,HR,6610,2020-06-08,,12,Inactive,New York,Morning
382,David Marshall,43,Other,Sales,9269,2018-10-05,2.0,13,Inactive,Los Angeles,Evening
383,Kelly Norton,30,Female,IT,7241,2014-12-18,4.0,1,Inactive,New York,Morning
384,Wendy Taylor,28,Female,IT,7632,2020-05-16,5.0,12,Inactive,Los Angeles,Evening
385,Monica Baldwin,33,Female,Sales,7941,2017-08-24,,14,Active,Los Angeles,Night
386,Joseph Martin,61,Other,HR,8450,2023-11-17,,2,Inactive,New York,Evening
387,Omar Martinez,32,Male,IT,7537,2018-05-30,,10,Active,New York,Night
388,Corey Smith,27,Other,Sales,2593,2017-07-27,1.0,20,Active,New York,Evening
389,Maria Bowman,43,Other,IT,2355,2015-03-29,,5,Active,Chicago,Morning
390,Sandra Gill,40,Female,HR,2567,2016-08-24,,15,Active,Chicago,Evening
391,Chloe Newman,32,Other,Sales,8745,2019-08-01,5.0,13,Inactive,Los Angeles,Evening
392,Heather Jones,32,Female,HR,6309,2023-03-25,5.0,5,Active,Los Angeles,Evening
393,Natalie Chavez DDS,20,Other,IT,7431,2022-09-07,5.0,8,Inactive,New York,Night
394,Marilyn Baker,34,Female,IT,8079,2024-06-05,2.0,18,Active,Chicago,Morning
395,Robert Oliver,22,Male,HR,8844,2019-05-29,1.0,14,Active,New York,Morning
396,Mary Mcmillan,64,Male,IT,5850,2015-06-05,2.0,4,Active,New York,Morning
397,Carolyn Arnold,37,Male,HR,8104,2020-11-24,,20,Active,Los Angeles,Morning
398,Sarah Ruiz,57,Male,Sales,6316,2022-01-07,1.0,13,Active,New York,Morning
399,Christina Lewis,22,Female,HR,9294,2020-05-04,,11,Inactive,Chicago,Evening
400,Bradley Hernandez,63,Male,Sales,2418,2018-08-21,,7,Active,Los Angeles,Night
401,Allen Miller,35,Female,Sales,6638,2016-12-31,,13,Active,Chicago,Morning
402,Nathan Flores,52,Female,IT,4967,2019-10-25,1.0,3,Inactive,Los Angeles,Night
403,Briana Martin,59,Male,Sales,4496,2023-05-22,1.0,20,Inactive,New York,Night
404,David Clark,40,Female,IT,9276,2016-09-27,,12,Active,Chicago,Morning
405,Leroy Jones,20,Other,IT,6520,2021-05-25,,2,Active,Chicago,Morning
406,Heather Scott,57,Male,Sales,9505,2024-08-18,3.0,6,Inactive,New York,Night
407,Vanessa Mendoza,31,Other,IT,9268,2017-07-27,,5,Active,Chicago,Evening
408,George Weaver,22,Female,HR,7728,2017-09-24,2.0,17,Active,Los Angeles,Night
409,Doris Cooper,56,Female,IT,5092,2015-08-09,5.0,19,Inactive,Chicago,Evening
410,Bruce Anderson,51,Male,HR,6689,2023-05-21,3.0,18,Inactive,Los Angeles,Evening
411,Kimberly Reed,64,Male,Sales,4303,2015-08-14,,8,Inactive,Los Angeles,Morning
412,Tammy Allison,52,Female,Sales,3739,2016-06-29,5.0,5,Active,Los Angeles,Evening
413,Dale Mejia,27,Male,Sales,4777,2023-10-25,5.0,12,Active,Chicago,Morning
414,Jacob Kelley,41,Other,HR,7380,2023-10-25,,13,Active,Los Angeles,Morning
415,Matthew Hampton,37,Male,Sales,3524,2016-07-22,,12,Inactive,Los Angeles,Night
416,Brandon Smith,43,Female,IT,4117,2015-10-20,,5,Active,Los Angeles,Night
417,Cynthia Hall,51,Other,Sales,2370,2018-02-26,,5,Inactive,Chicago,Evening
418,Angel Fuller,39,Male,HR,3677,2015-08-04,,3,Active,New York,Evening
419,Sonia Davis,27,Male,HR,5837,2024-11-16,,14,Active,New York,Morning
420,Terry Gomez,64,Male,Sales,8406,2024-10-20,,7,Active,Chicago,Evening
421,Travis Brown,49,Female,HR,5735,2019-04-13,,4,Inactive,Chicago,Morning
422,Dylan Dixon,19,Female,IT,8798,2015-06-07,5.0,15,Active,Los Angeles,Evening
423,James Newton,30,Male,IT,5836,2023-03-05,,11,Active,New York,Evening
424,Antonio Shields,46,Male,HR,7729,2022-04-11,3.0,7,Inactive,Los Angeles,Night
425,Tricia Coleman,49,Male,Sales,4385,2019-08-14,,1,Inactive,Los Angeles,Morning
426,Ryan Munoz,45,Male,Sales,5367,2023-04-02,,13,Inactive,Los Angeles,Morning
427,Patricia Scott,52,Male,HR,2041,2022-11-22,1.0,8,Inactive,Chicago,Evening
428,Ashley Gonzales,41,Other,Sales,3720,2015-08-16,2.0,15,Inactive,Los Angeles,Morning
429,Vicki Carter,29,Other,Sales,7080,2015-09-12,4.0,4,Inactive,New York,Morning
430,Matthew Turner,62,Female,IT,4753,2020-06-13,,20,Active,Los Angeles,Morning
431,James Melton,46,Other,Sales,6746,2019-07-31,5.0,16,Inactive,Los Angeles,Night
432,Kayla Gregory,38,Male,Sales,7860,2023-01-25,3.0,8,Inactive,Los Angeles,Night
433,Bryan Medina,41,Other,HR,9516,2021-04-07,3.0,13,Inactive,New York,Evening
434,Cameron Harris,26,Female,HR,6763,2017-04-19,1.0,16,Active,Los Angeles,Morning
435,Richard Rich,27,Female,IT,7375,2023-01-31,2.0,16,Inactive,Los Angeles,Evening
436,Jason Robertson,37,Male,HR,5439,2016-06-23,2.0,14,Active,Chicago,Morning
437,Philip Huff,51,Male,HR,6877,2018-07-19,,4,Inactive,Chicago,Morning
438,Kristie Nelson,41,Other,IT,8618,2023-12-04,,6,Inactive,Los Angeles,Night
439,Mrs. Lisa Suarez,56,Male,IT,8236,2023-11-06,,2,Inactive,Los Angeles,Morning
440,Nicholas Wilson,60,Other,IT,7865,2015-09-08,2.0,8,Active,New York,Morning
441,Catherine Jordan,43,Female,Sales,4246,2019-06-12,,11,Active,Los Angeles,Evening
442,Michele Ruiz,53,Other,IT,5333,2023-01-05,,19,Active,New York,Evening
443,Kimberly Sparks,26,Other,Sales,9146,2024-07-29,3.0,3,Inactive,New York,Evening
444,Joseph Oconnor,65,Female,IT,6442,2019-01-19,4.0,14,Active,New York,Evening
445,Joseph Armstrong,48,Female,HR,4183,2020-10-03,4.0,6,Active,Chicago,Evening
446,Stephen Little,26,Other,Sales,4741,2021-10-30,,12,Inactive,New York,Morning
447,Melissa Clark,45,Female,HR,8888,2023-08-11,,13,Active,Chicago,Evening
448,Michelle Robertson,57,Female,HR,8958,2021-06-07,1.0,1,Active,Chicago,Morning
449,Nathan Rodriguez,29,Other,HR,8526,2021-12-08,,2,Inactive,Los Angeles,Morning
450,Marissa Hunt,40,Male,Sales,4566,2021-10-18,,2,Inactive,Chicago,Night
451,Steve Adams,63,Other,Sales,2663,2019-07-31,,16,Active,Los Angeles,Evening
452,Crystal Reyes,41,Female,Sales,3824,2018-10-20,,9,Active,New York,Morning
453,Lindsey Hall,23,Other,IT,2978,2022-05-17,2.0,5,Active,Chicago,Evening
454,Jay Clark,54,Other,IT,4395,2019-09-21,2.0,18,Inactive,Los Angeles,Evening
455,Michael Reeves,21,Female,HR,3294,2019-05-20,,13,Inactive,Chicago,Evening
456,Nicole Baxter,34,Other,IT,8946,2023-12-04,,14,Inactive,Chicago,Night
457,Cheryl Davila,55,Male,Sales,6737,2024-01-15,1.0,8,Inactive,Chicago,Morning
458,Emma Pratt,19,Other,IT,9946,2016-04-08,,17,Inactive,Los Angeles,Evening
459,Jennifer Nelson,44,Male,HR,7571,2017-07-22,3.0,7,Inactive,Chicago,Night
460,William Garrett,25,Male,Sales,8957,2022-10-15,,18,Inactive,New York,Evening
461,Jose Allen,27,Female,HR,9861,2015-04-05,3.0,10,Active,Chicago,Morning
462,Anne Hernandez,24,Male,HR,5998,2017-02-22,,1,Inactive,New York,Night
463,Christopher Stevens,57,Other,Sales,2495,2024-01-30,,9,Active,New York,Night
464,Alex Gordon,35,Male,Sales,5070,2022-08-10,,7,Inactive,Chicago,Night
465,Justin Thornton,35,Female,IT,6622,2020-01-09,,19,Active,Chicago,Night
466,Jeremy Perez,21,Male,IT,6980,2018-03-14,,1,Active,Los Angeles,Morning
467,Janet Carpenter,65,Other,Sales,7570,2024-08-04,5.0,5,Inactive,Los Angeles,Morning
468,Kimberly Brown,47,Other,HR,4781,2021-12-11,2.0,18,Inactive,Chicago,Night
469,Luis Shaw,29,Female,IT,4297,2023-12-02,4.0,10,Active,Chicago,Evening
470,Amanda Smith,65,Male,IT,5765,2016-12-16,3.0,9,Inactive,Los Angeles,Morning
471,Stephanie Jackson,44,Other,IT,6741,2015-06-19,,10,Active,Los Angeles,Evening
472,Matthew Thomas,65,Other,IT,5473,2020-10-22,,13,Active,New York,Evening
473,Faith Morris,18,Other,IT,4923,2021-05-09,1.0,8,Inactive,Chicago,Morning
474,David Potter,56,Male,IT,2016,2020-07-13,,18,Active,New York,Morning
475,Kimberly Lang,65,Female,Sales,3820,2024-02-03,4.0,2,Active,Chicago,Night
476,Alicia Malone,56,Female,Sales,2646,2018-01-12,,12,Inactive,Los Angeles,Evening
477,Gregory Sparks,20,Female,IT,3225,2023-08-20,1.0,1,Inactive,Los Angeles,Morning
478,Mary Arias,19,Male,Sales,8893,2024-11-14,,7,Active,Chicago,Evening
479,Jeffrey Robles,28,Male,Sales,8039,2024-07-04,,8,Active,Chicago,Evening
480,Jay Scott,28,Other,HR,5496,2015-01-21,,18,Active,Chicago,Night
481,Brandon Flores,41,Female,Sales,4368,2023-11-10,4.0,11,Inactive,Los Angeles,Morning
482,Donna King,28,Male,IT,6725,2016-08-02,5.0,16,Active,Chicago,Night
483,Curtis Barrett,29,Female,Sales,5215,2021-09-08,,6,Inactive,Chicago,Evening
484,Jason Hayden,43,Female,IT,3929,2017-02-26,1.0,17,Active,Chicago,Evening
485,Patricia Washington,27,Male,IT,6050,2017-11-05,5.0,15,Active,Chicago,Night
486,Chelsea Owens,64,Male,IT,8514,2021-05-21,2.0,8,Active,New York,Morning
487,Kayla Garcia,44,Female,Sales,6034,2020-05-27,,9,Inactive,New York,Night
488,Lisa Torres,36,Male,HR,5608,2020-06-21,1.0,9,Inactive,New York,Evening
489,Madison Smith,26,Male,IT,5993,2024-08-30,2.0,17,Inactive,New York,Morning
490,Molly Choi,55,Other,Sales,5001,2016-11-07,4.0,7,Active,Chicago,Evening
491,Kristy Phillips,22,Other,Sales,5217,2019-05-17,,12,Active,Chicago,Evening
492,Dr. Jacob Castaneda DVM,53,Other,Sales,9181,2024-02-17,5.0,1,Inactive,Los Angeles,Morning
493,Dr. Thomas Brown,42,Other,HR,2106,2017-02-10,2.0,9,Active,Chicago,Night
494,Michael Torres,23,Female,HR,6730,2024-05-12,,18,Inactive,New York,Night
495,Scott Fleming,51,Female,HR,2700,2018-12-04,,12,Inactive,Chicago,Morning
496,Patrick Martin,50,Other,Sales,8594,2021-10-30,5.0,9,Inactive,Chicago,Night
497,Brittany Martinez,30,Other,Sales,3558,2020-10-16,,18,Inactive,New York,Night
498,Lori Thomas,52,Male,IT,7471,2023-03-14,,9,Inactive,New York,Evening
499,Paul Mccullough,62,Other,IT,6359,2021-01-12,2.0,15,Active,Los Angeles,Evening
500,Bruce Rodriguez,62,Male,IT,9773,2019-09-23,,19,Inactive,Los Angeles,Night
501,Kristi Stevens,22,Male,HR,6558,2021-10-30,1.0,14,Active,Chicago,Night
502,Christina Hayes,32,Male,Sales,7401,2020-07-28,,8,Active,Los Angeles,Evening
503,Dawn Choi,28,Female,IT,8308,2018-10-21,5.0,18,Active,Los Angeles,Night
504,Zachary Bowen,25,Male,Sales,2712,2016-05-28,,10,Active,Chicago,Morning
505,Crystal Lee,64,Male,HR,3934,2022-07-09,5.0,20,Inactive,Los Angeles,Night
506,Dr. Justin Vega,50,Female,HR,3135,2020-03-20,,17,Inactive,Los Angeles,Night
507,Bradley Riley,62,Other,IT,3980,2024-01-09,,9,Active,New York,Morning
508,George Mcpherson,35,Male,HR,8602,2018-10-30,2.0,17,Inactive,New York,Morning
509,Erica Garcia,32,Female,IT,3726,2021-10-11,,4,Active,Chicago,Night
510,Christopher Black,62,Female,HR,3278,2021-08-29,5.0,10,Inactive,Los Angeles,Evening
511,Charles Smith,24,Female,IT,5716,2019-12-13,5.0,15,Active,Chicago,Night
512,Ellen Wright,56,Male,HR,7339,2023-01-06,,1,Active,New York,Evening
513,Ryan Hess,41,Male,HR,3067,2023-12-06,2.0,19,Active,Los Angeles,Evening
514,Miss Alyssa Perez DDS,59,Other,HR,8297,2015-10-13,4.0,1,Inactive,Los Angeles,Morning
515,Taylor Williamson,48,Male,HR,9293,2015-03-10,,17,Inactive,Chicago,Night
516,Megan Sullivan,42,Female,IT,4243,2023-05-24,3.0,2,Active,Los Angeles,Evening
517,Christina Lowe,35,Female,Sales,9630,2018-07-03,,1,Active,Los Angeles,Night
518,Anthony Sanchez DVM,37,Other,IT,9844,2020-11-28,,4,Active,Los Angeles,Morning
519,Kyle Strong,46,Female,HR,6688,2019-05-06,,16,Active,New York,Night
520,Omar Thomas,60,Male,Sales,2949,2015-11-12,2.0,18,Inactive,Chicago,Morning
521,Angela Jimenez,44,Other,HR,2246,2016-05-02,2.0,6,Inactive,New York,Evening
522,Rebecca Stone,18,Female,HR,2302,2024-01-08,,6,Active,New York,Night
523,Kyle Smith,37,Male,IT,8961,2020-09-04,1.0,1,Inactive,Chicago,Evening
524,Gwendolyn Ray,36,Female,Sales,3619,2021-06-08,3.0,7,Inactive,New York,Evening
525,Stephen Wilcox,19,Other,HR,8100,2019-02-06,1.0,4,Active,Chicago,Night
526,Ashley Barber,55,Male,IT,3072,2022-08-26,,16,Inactive,New York,Night
527,Brittany Holt,55,Male,IT,2247,2018-02-18,4.0,19,Inactive,New York,Morning
528,Amber Rodriguez,18,Male,Sales,4941,2022-12-11,5.0,19,Active,Los Angeles,Morning
529,Anne Roberts,44,Male,Sales,6936,2016-11-20,2.0,2,Active,Chicago,Evening
530,Katie Vega,40,Female,HR,7002,2019-08-06,2.0,20,Active,Los Angeles,Night
531,Gabriel Weber,32,Male,HR,2759,2016-05-10,5.0,7,Inactive,Los Angeles,Evening
532,Jeffrey Williamson,54,Other,IT,9988,2015-12-08,,16,Inactive,Chicago,Evening
533,Jason Juarez,61,Other,Sales,2646,2019-03-25,,17,Inactive,Los Angeles,Morning
534,Toni Hall,53,Other,HR,3093,2016-10-23,3.0,7,Active,New York,Night
535,Ryan Ramos,28,Female,Sales,4004,2016-10-22,,10,Active,Chicago,Morning
536,Thomas Stuart,30,Male,HR,4615,2022-01-07,,11,Inactive,Los Angeles,Evening
537,Joseph Adams,31,Female,Sales,3299,2018-02-28,,10,Inactive,New York,Night
538,Kimberly Burke,20,Male,IT,2492,2016-09-25,,3,Inactive,Los Angeles,Morning
539,Brandon Church,38,Male,HR,8388,2021-08-02,1.0,20,Inactive,Chicago,Morning
540,Jonathan Reed,39,Female,IT,9823,2019-04-02,,1,Active,Chicago,Night
541,Julie Turner,53,Female,HR,6092,2021-09-01,,16,Active,New York,Evening
542,Joseph Vargas,46,Female,Sales,5594,2016-09-05,,3,Active,Chicago,Evening
543,Michael Parker,37,Other,HR,6468,2018-11-17,,13,Inactive,Los Angeles,Evening
544,Erin Cunningham,63,Other,HR,9838,2015-06-10,5.0,20,Active,Los Angeles,Morning
545,Elizabeth Watson,47,Female,HR,2766,2018-10-11,,20,Inactive,Los Angeles,Night
546,Tara Mccoy,31,Male,IT,8103,2020-05-23,5.0,4,Active,Chicago,Night
547,Louis Larsen,24,Male,Sales,8608,2018-10-30,,20,Inactive,Los Angeles,Night
548,Tara Waller,50,Other,IT,3902,2020-10-21,,5,Inactive,Los Angeles,Evening
549,Morgan Thompson,32,Other,HR,7206,2018-01-11,,9,Inactive,New York,Night
550,Jason Greene,26,Male,Sales,5184,2018-12-09,,11,Active,Chicago,Evening
551,Patricia Terry,50,Male,Sales,3609,2020-01-30,,3,Inactive,Los Angeles,Evening
552,Melissa Erickson,48,Other,IT,2152,2020-07-04,,11,Active,Los Angeles,Morning
553,Amanda Griffith,26,Male,Sales,9704,2019-05-30,,9,Active,New York,Evening
554,Leslie Walker,20,Other,IT,2061,2024-09-05,3.0,14,Inactive,Chicago,Morning
555,Johnny Dalton,28,Other,HR,2673,2023-10-05,,17,Inactive,New York,Night
556,Crystal Kidd,29,Female,HR,8220,2019-11-20,5.0,11,Active,Los Angeles,Morning
557,Kristina Phillips,24,Male,IT,7887,2018-01-22,,14,Active,Chicago,Night
558,Michaela Rivera,28,Male,HR,9163,2018-10-05,2.0,12,Active,Los Angeles,Morning
559,Tammy Mcpherson,63,Female,Sales,2640,2020-10-24,,3,Active,New York,Morning
560,Carrie Thomas,39,Female,Sales,2831,2022-03-22,4.0,8,Active,Los Angeles,Evening
561,Kimberly Davis,52,Female,HR,7404,2024-01-06,4.0,15,Inactive,New York,Morning
562,Pamela Levine,37,Female,HR,8201,2017-11-13,2.0,16,Inactive,Chicago,Morning
563,Beverly Logan,51,Female,HR,9646,2021-08-08,,18,Inactive,Chicago,Evening
564,Pamela Ellison,23,Female,HR,7551,2018-10-18,,13,Inactive,New York,Night
565,Kathleen Ross,50,Male,IT,8941,2018-09-12,2.0,11,Active,New York,Morning
566,Erica Jones,46,Female,Sales,3768,2022-10-19,1.0,4,Inactive,Chicago,Night
567,Adam Thomas,32,Female,HR,9370,2021-05-08,4.0,20,Inactive,New York,Night
568,Courtney Lucas,20,Other,Sales,7155,2015-11-17,,1,Inactive,Los Angeles,Night
569,Kimberly Montgomery,55,Female,Sales,6345,2019-03-06,,2,Active,Los Angeles,Evening
570,Paul Smith,35,Other,IT,2042,2016-12-22,,4,Active,New York,Evening
571,Tamara Harding,18,Other,HR,2392,2017-03-08,,20,Active,Los Angeles,Evening
572,Suzanne Miller,41,Other,Sales,4208,2023-02-26,4.0,5,Inactive,Chicago,Evening
573,Laura Harvey,22,Male,IT,3141,2024-02-06,,19,Inactive,New York,Night
574,Patrick Rodriguez,38,Male,IT,3532,2018-11-18,,1,Active,New York,Morning
575,Sabrina Davis,27,Other,HR,3247,2021-09-22,4.0,11,Active,Chicago,Morning
576,Eric Smith,34,Male,HR,5168,2023-12-15,1.0,14,Inactive,New York,Evening
577,Chad Kennedy,49,Male,Sales,7111,2022-03-15,5.0,18,Active,Chicago,Night
578,Denise Lindsey,28,Other,IT,4002,2015-03-25,2.0,12,Active,New York,Evening
579,Dawn Fuller MD,18,Other,HR,8824,2015-11-03,5.0,11,Inactive,New York,Morning
580,Mark Santiago,32,Male,HR,3736,2018-09-26,3.0,17,Active,New York,Evening
581,Jennifer Stewart,32,Female,HR,9772,2021-05-05,1.0,8,Inactive,Los Angeles,Night
582,Sara Harris,35,Other,IT,3433,2024-03-07,,11,Active,New York,Evening
583,Nicholas Anderson,60,Male,Sales,3154,2016-02-13,,12,Inactive,New York,Night
584,Robin Williams,19,Other,HR,6531,2018-11-01,2.0,10,Inactive,Los Angeles,Morning
585,Angela Bell,62,Female,Sales,2844,2015-04-11,5.0,10,Active,New York,Evening
586,Alexander Mitchell,24,Other,HR,2401,2020-01-21,2.0,19,Inactive,New York,Night
587,Leslie Harmon,47,Male,IT,5440,2016-09-19,,11,Inactive,New York,Evening
588,Krystal Rice,42,Other,HR,9390,2021-08-05,5.0,13,Inactive,New York,Morning
589,Mr. Gary Ramos,64,Other,Sales,7293,2022-12-05,2.0,4,Inactive,Los Angeles,Night
590,Meghan Beck,18,Female,HR,7088,2020-11-05,,7,Active,Los Angeles,Night
591,Nancy Vincent,38,Other,HR,7948,2020-09-06,,18,Inactive,Los Angeles,Morning
592,Jonathan Rangel,49,Other,Sales,9323,2021-01-19,,18,Inactive,Chicago,Evening
593,Laura Smith,47,Female,Sales,7876,2019-04-30,2.0,1,Active,Los Angeles,Morning
594,Amber Mason,28,Other,HR,8165,2020-12-27,,4,Active,Chicago,Evening
595,Michelle Smith,35,Other,Sales,9906,2018-12-18,,9,Active,Los Angeles,Evening
596,Megan Barry,53,Female,Sales,8742,2019-04-05,,16,Inactive,Los Angeles,Evening
597,Kathy Clark,55,Female,IT,4040,2015-05-23,2.0,19,Inactive,New York,Morning
598,Brenda Torres,20,Male,HR,2256,2020-04-10,,9,Active,New York,Evening
599,James Rose,58,Female,HR,2593,2019-08-01,,11,Inactive,Chicago,Night
600,Stephen Weber,20,Male,HR,7375,2016-02-15,5.0,2,Active,Chicago,Night
601,Jason Hess,30,Female,IT,7847,2024-04-04,3.0,10,Inactive,New York,Morning
602,Connie Collins,52,Male,Sales,6509,2021-05-07,1.0,1,Active,Chicago,Morning
603,Melissa Evans,37,Female,HR,4680,2020-11-22,2.0,13,Inactive,Los Angeles,Evening
